[0000007644ns] mycpu : pc = 1c009004,  reg = 16, val = 00000048
[0000007714ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000007732ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000007766ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000007782ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000007812ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000007828ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000007848ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000007880ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000007912ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000007934ns] mycpu : pc = 1c009004,  reg = 16, val = 00000049
[0000008040ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000008054ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000008086ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000008102ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000008134ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000008152ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000008166ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000008208ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000008244ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000008260ns] mycpu : pc = 1c009004,  reg = 16, val = 0000004a
[0000008368ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000008382ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000008414ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000008430ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000008466ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000008480ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000008502ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000008540ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000008570ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000008598ns] mycpu : pc = 1c009004,  reg = 16, val = 0000004b
[0000008698ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000008720ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000008750ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000008770ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000008806ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000008824ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000008844ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000008886ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000008918ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000008936ns] mycpu : pc = 1c009004,  reg = 16, val = 0000004c
[0000009002ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000009018ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000009058ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000009074ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000009122ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000009140ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
[0000009156ns] mycpu : pc = 1c008018,  reg = 13, val = 00000008
[0000009204ns] mycpu : pc = 1c00801c,  reg = 00, val = 00000000
[0000009234ns] mycpu : pc = 1c009000,  reg = 13, val = 0000000a
[0000009256ns] mycpu : pc = 1c009004,  reg = 16, val = 0000004d
[0000009326ns] mycpu : pc = 1c008000,  reg = 13, val = 00000001
[0000009344ns] mycpu : pc = 1c008004,  reg = 13, val = 00000000
[0000009386ns] mycpu : pc = 1c008008,  reg = 13, val = 1c009000
[0000009404ns] mycpu : pc = 1c00800c,  reg = 13, val = 1c00900c
[0000009440ns] mycpu : pc = 1c008010,  reg = 13, val = 00000004
[0000009468ns] mycpu : pc = 1c008014,  reg = 14, val = 00000004
